S1,S2,SCORE
A plane is taking off.,An air plane is taking off.,5
A man is playing a large flute.,A man is playing a flute.,3.8
A man is spreading shreded cheese on a pizza.,A man is spreading shredded cheese on an uncooked pizza.,3.8
Three men are playing chess.,Two men are playing chess.,2.6
A man is playing the cello.,A man seated is playing the cello.,4.25
Some men are fighting.,Two men are fighting.,4.25
A man is smoking.,A man is skating.,0.5
The man is playing the piano.,The man is playing the guitar.,1.6
A man is playing on a guitar and singing.,A woman is playing an acoustic guitar and singing.,2.2
A person is throwing a cat on to the ceiling.,A person throws a cat on the ceiling.,5
The man hit the other man with a stick.,The man spanked the other man with a stick.,4.2
A woman picks up and holds a baby kangaroo.,A woman picks up and holds a baby kangaroo in her arms.,4.6
A man is playing a flute.,A man is playing a bamboo flute.,3.867
A person is folding a piece of paper.,Someone is folding a piece of paper.,4.667
A man is running on the road.,A panda dog is running on the road.,1.667
A dog is trying to get bacon off his back.,A dog is trying to eat the bacon on its back.,3.75
The polar bear is sliding on the snow.,A polar bear is sliding across the snow.,5
A woman is writing.,A woman is swimming.,0.5
A cat is rubbing against baby's face.,A cat is rubbing against a baby.,3.8
The man is riding a horse.,A man is riding on a horse.,5
A man pours oil into a pot.,A man pours wine in a pot.,3.2
A man is playing a guitar.,A girl is playing a guitar.,2.8
A panda is sliding down a slide.,A panda slides down a slide.,4.6
A woman is eating something.,A woman is eating meat.,3
A woman peels a potato.,A woman is peeling a potato.,5
The boy fell off his bike.,A boy falls off his bike.,4.8
The woman is playing the flute.,A woman is playing a flute.,5
A rabbit is running from an eagle.,A hare is running from a eagle.,4.2
The woman is frying a breaded pork chop.,A woman is cooking a breaded pork chop.,4.2
A girl is flying a kite.,A girl running is flying a kite.,4
A man is riding a mechanical bull.,A man rode a mechanical bull.,4
The man is playing the guitar.,A man is playing a guitar.,4.909
A woman is dancing and singing with other women.,A woman is dancing and singing in the rain.,3
A man is slicing a bun.,A man is slicing an onion.,2.4
A man is pouring oil into a pan.,A man is pouring oil into a skillet.,4.2
A lion is playing with people.,A lion is playing with two men.,3.4
A dog rides a skateboard.,A dog is riding a skateboard.,5
Someone is carving a statue.,A man is carving a statue.,3.75
A woman is slicing an onion.,A man is cutting an onion.,2.75
A woman peels shrimp.,A woman is peeling shrimp.,5
A woman is frying fish.,A woman is cooking fish.,4
A woman is playing an electric guitar.,A woman is playing a guitar.,3.6
A baby tiger is playing with a ball.,A baby is playing with a doll.,1.6
A person is slicing a tomato.,A person is slicing some meat.,1.75
A person cuts an onion.,A person is cutting an onion.,5
A man is playing the piano.,A woman is playing the violin.,1
A woman is playing the flute.,A man is playing the guitar.,1
A man is cutting up a potato.,A man is cutting up carrots.,2.375
A kid is playing guitar.,A boy is playing a guitar.,3.8
A boy is playing guitar.,A man is playing a guitar.,3.2
A man is playing guitar.,A boy is playing a guitar.,3.2
A little boy is playing a keyboard.,A boy is playing key board.,4.4
A man is playing a guitar.,A man is playing an electric guitar.,3.75
A dog licks a baby.,A dog is licking a baby.,4.75
A woman is slicing an onion.,A man is cutting and onion.,3.2
A man is playing the guitar.,A man is playing the drums.,1.556
A woman is slicing a pepper.,A woman is cutting a red pepper.,3.938
A man is playing the drums.,A man plays the drum.,5
A woman rides a horse.,A woman is riding a horse.,5
A man is eating a banana by a tree.,A man is eating a banana.,4
A cat is playing a key board.,A man is playing two keyboards.,1.6
A man chops down a tree with an axe.,A man cut a tree with an axe.,4.75
A kid plays with a toy phone.,A little boy plays with a toy phone.,3.5
A man is riding a motorcycle.,A man is riding a horse.,1.4
A man is riding a motorcycle.,A man is riding a horse.,1.4
A squirrel is spinning around in circles.,A squirrel runs around in circles.,4
A man and a woman are kissing.,A man and woman kiss.,5
A man is getting into a car.,A man is getting into a car in a garage.,3.833
A man is dancing.,A man is talking.,0.6
A man is playing the guitar and singing.,A man is playing the guitar.,2.917
A person is cutting mushrooms.,A person is cutting mushrooms with a knife.,4.2
A tiger cub is making a sound.,A tiger is walking around.,2
A person is slicing onions.,A person is peeling an onion.,2.6
A man is playing the piano.,A man is playing the trumpet.,1.6
A woman is peeling a potato.,A woman is peeling an apple.,2
A pankda is eating bamboo.,A panda bear is eating some bamboo.,4.2
A person is peeling an onion.,A person is peeling an eggplant.,2
A monkey pushes another monkey.,The monkey pushed the other monkey.,4.8
A squirrel runs around in circles.,A squirrel is moving in circles.,4.4
A man is tying his shoe.,A man ties his shoe.,5
A boy is singing and playing the piano.,A boy is playing the piano.,3
A dog is eating water melon.,A dog is eating a piece of watermelon.,4.25
A woman is chopping broccoli.,A woman is chopping broccoli with a knife.,4.25
A man is peeling a potato.,A man peeled a potatoe.,3.8
A woman is playing a guitar.,A man plays a guitar.,2.4
A woman is slicing tomato.,A man is slicing onion.,1.6
A man swims underwater.,A woman is swimming underwater.,2
A man and woman are talking.,A man and woman is eating.,1.6
A small dog is chasing a yoga ball.,A dog is chasing a ball.,4
The men are playing cricket.,The men are playing basketball.,2.2
A man rides off on a motorcycle.,A man is riding on a motorcycle.,4.4
A man is playing a guitar.,A man is singing and playing a guitar.,3.6
The man talked on the telephone.,The man is talking on the phone.,3.6
A man is fishing.,A man is exercising.,0.5
A man is levitating.,A man is talking.,0.8
Two boys are driving.,Two bays are dancing.,0.6
A man is riding on a horse.,A girl is riding a horse.,2.6
A man is riding a bicycle.,A monkey is riding a bike.,2
A man is slicing potatoes.,A woman is peeling potato.,2.2
A woman is peeling a potato.,A man is slicing potato.,2.4
A man is playing a guitar.,Someoen is playing guitar.,3.6
A woman is slicing a leek.,A woman is slicing ginger.,2.2
The man cut a paper plate.,A man is cutting a paper plate.,4.8
The man is playing the guitar.,A man is playing the flute.,1.643
A man is playing the piano.,The man is playing the violin.,1.75
A woman is slicing up some meat.,A woman is breading some meat.,2.25
A man is playing on his keyboard.,A man is playing a keyboard piano.,4
The lady chopped up the green onions.,The lady cut up a green onion.,4.8
Someone is sitring noodles in water.,A woman is boiling noodles in water.,3.2
Lionel Richie is dancing on the ceiling.,Lionel Ritchie dances while standing on the ceiling.,4
A man is playing a piano.,A person is playing the piano.,4.4
A woman is playing flute.,A woman plays on a flute.,4.6
A boy is checking a calender.,A boy is looking at a calendar.,3.8
A woman is cutting an onion.,A woman is chopping onions.,4.8
A man is playing guitar.,A man plays a guitar.,4.857
A woman is using a sewing machine.,A woman is sewing on a machine.,5
A woman is flipping pancakes.,A cartoon chef is flipping pancakes.,2.533
A man is running on the road.,A car is driving down the road.,1
A man is riding on a horse.,A man is talking on a phone.,1
A man is riding a bike.,A man is riding on a horse.,2
A woman is dancing.,A man is eating.,0.143
A man is playing a piano.,A man is playing a flute.,2
A man is playing a flute.,A man is playing a piano.,1.6
A man is spinning.,A man is dancing.,1.6
A monkey is swinging from limb to limb.,A monkey is swinging from tree to tree.,3.4
The people got off the train.,The people got off the train at the station.,4
A dog is jumping on a trampoline.,A dog bounces on a trampoline.,4.8
A boy is playing an instrument.,A man is playing a trumpet.,2.5
A woman plays the guitar.,A man sings and plays the guitar.,1.75
A woman is picking a can.,A woman is slicing a tomato.,1
A man is climbing a rope.,A man climbs up a rope.,5
A man is lifting a car.,A man is climbing a wall.,1.4
